OPL SKU,Qty.,Parts
320170000,1,BAT2
302010179,5,C1,C9,C14,C18,C22
302020002,4,C5,C8,C26,C31
302010165,11,C6,C7,C10,C11,C13,C15,C24,C27,C28,C30,C32
302010151,1,C12
302030090,2,C16,C17
302020011,1,C19
302010088,1,C20
302010341,2,C21,C34
302010175,1,C23
302020015,1,C25
302010056,1,C33
302020013,1,C35
302010076,1,C36
304090042,3,D1,D6,D15
304090039,1,D2
304020034,6,D3,D4,D5,D8,D11,D12
304090057,1,D7
304090043,1,D9
304040016,1,D10
304090045,1,D13
304090044,1,D14
307010001,1,F2
320090000,1,J1
320110033,5,J2,J3,J4,J18,J10
320110028,3,J5,J6,J7
320010000,1,J8
320020038,2,J11,J14
320020027,2,J12,J16
320020077,1,J13
320030065,4,J15,J17,J20,J21
320110029,1,J19
320020017,2,J22,J23
320110054,1,J24
311020023,1,K1
303010086,1,L1
303010108,1,L3
305030014,5,Q1,Q2,Q3,Q5,Q8
305010018,1,Q4
301010311,6,R1,R9,R15,R28,R32,R33
301010318,3,R2,R4,R27
301010361,7,R3,R8,R16,R17,R22,R24,R30
301010396,2,R5,R23
301010043,4,R6,R7,R11,R14
301010153,2,R10,R13
301010321,1,R12
301010306,1,R18
301010329,2,R19,R31
301010198,1,R20
301010254,1,R21
301010113,1,R26
315030009,1,SW1
311010004,1,SW2
310110008,1,U1
310030101,1,U2
310030129,1,U3
310010010,1,U5
310030104,1,U7
306010055,1,X1
306010053,1,Y1
